Antidote Jewel : 水光原珠 x1, フロギィの皮 x2
Evade Jewel : 陽翔原珠 x1, 白兎獣の腹甲 x2, キラビートル x2
Evade Jewel : 瑠璃原珠 x1, 風牙竜の上毛皮 x2, 白兎獣の剛毛 x2
Jumping Jewel : 修羅原珠 x1, 迅竜の上黒毛 x2, 飛甲虫の羽 x2
Sliding Jewel : 金剛原珠 x1, 白兎獣の地獄耳 x2
Gliding Jewel : 金剛原珠 x1, 重厚な牙 x2, 迅竜の剛刃翼 x1
Ninja Jewel : 水光原珠 x1, ガウシカの角 x2
Iron Wall Jewel : 陽翔原珠 x1, 土砂竜の甲殻 x2
Iron Wall Jewel : 陽翔原珠 x1, 炎戈竜の碇口 x1, 炎戈竜の甲殻 x3
Shield Jewel : 陽翔原珠 x1, 紅蓮石 x2
Shield Jewel : 修羅原珠 x1, 凍戈竜の堅殻 x1, 獄炎石 x3
Disabler Jewel : 陽翔原珠 x1, 飛甲虫の羽 x3, 飛甲虫の麻痺針 x2
Disabler Jewel : 修羅原珠 x1, 毒怪竜の鋭爪 x1, モンスターの濃汁 x2
Flame Jewel : 陽翔原珠 x1, 雌火竜の鱗 x2
Flame Jewel : 金剛原珠 x1, 業炎袋 x1, 赤甲獣の重殻 x2
Stream Jewel : 陽翔原珠 x1, 水獣のトサカ x1
Stream Jewel : 金剛原珠 x1, 灯魚竜の大王ヒゲ x1, 水竜の鋭牙 x2
Lightning Jewel : 陽翔原珠 x1, 毒怪竜の爪 x1, 雷光虫 x2
Lightning Jewel : 金剛原珠 x1, 雷電袋 x1, 海竜の剛爪 x2
Fleezing Jewel : 陽翔原珠 x1, 眠狗竜の皮 x2
Fleezing Jewel : 金剛原珠 x1, 氷砕竜の靭尾 x1, 白兎獣の豪剛毛 x2
Dragonfell Jewel : 陽翔原珠 x1, 氷牙竜の爪 x2, 龍殺しの実 x2
Dragonfell Jewel : 金剛原珠 x1, 蝕龍蟲 x2, 獄狼竜の龍毛 x2
Element Jewel : 金剛原珠 x1, 煌黒龍の堅逆殻 x2
Element Jewel : 金剛原珠 x1, 煌黒龍の尖爪 x2, 白海竜の雷電殻 x1
Fire Res Jewel : 水光原珠 x1, 火薬草 x5
Fire Res Jewel+ : 陽翔原珠 x1, 火炎袋 x2, 竜骨【大】 x3
Water Res Jewel : 水光原珠 x1, キレアジ x5
Water Res Jewel+ : 陽翔原珠 x1, 水袋 x2, 竜骨【大】 x3
ThundrRes Jewel : 水光原珠 x1, 雷光虫 x3
ThundrRes Jewel+ : 陽翔原珠 x1, 海竜の背電殻 x1, 竜骨【大】 x1
Ice Res Jewel : 水光原珠 x1, 氷結晶 x5
Ice Res Jewel+ : 陽翔原珠 x1, 白兎獣の氷爪 x2, 竜骨【大】 x3
DragonRes Jewel : 水光原珠 x1, 龍殺しの実 x2
DragonRes Jewel+ : 修羅原珠 x1, いにしえの龍骨 x1, 尖竜骨 x2
Razor Jewel : 陽翔原珠 x1, 炎戈竜のヒレ x1, 雷狼竜の甲殻 x1
Razor Jewel : 瑠璃原珠 x1, 炎戈竜の上ヒレ x1, おそろしいクチ x2
Handicraft Jewel : 金剛原珠 x1, 神々しい龍牙 x1, 炎戈竜の鋭爪 x2
Handicraft Jewel : 金剛原珠 x1, 煉黒龍の炎爪 x1, 恐暴竜の宝玉 x1
Fencer Jewel : 金剛原珠 x1, 金火竜の重殻 x2, 迅竜の靭尾 x1
Fencer Jewel : 金剛原珠 x1, 冥海竜の雷電殻 x2, 蒼火竜の靭尾 x1
Grinder Jewel : 水光原珠 x1, 狗竜の爪 x1, マカライト鉱石 x1
Draw Jewel : 金剛原珠 x1, 堅牢なねじれた角 x1, 角竜の堅殻 x2
Draw Jewel : 金剛原珠 x1, 角竜の重甲 x1, 氷砕竜の重殻 x1
Gambit Jewel : 金剛原珠 x1, 爆鎚竜の重耐熱殻 x1, 翠水竜の厚鱗 x2
Gambit Jewel : 金剛原珠 x1, 堅牢な黒巻き角 x1, 氷牙竜の堅殻 x1
Quickload Jewel : 陽翔原珠 x1, シーブライト鉱石 x3
Quickload Jewel : 陽翔原珠 x1, 琥珀色の牙 x2, ライトクリスタル x2
Magazine Jewel : 金剛原珠 x1, 皇海龍の重甲皮 x1, 炎戈竜の重殻 x2
Magazine Jewel : 金剛原珠 x1, 皇海龍の厚鱗 x1, 大竜玉 x1
Salvo Jewel : 金剛原珠 x1, 火竜の剛翼 x2
Salvo Jewel : 金剛原珠 x1, 冥海竜の剛角 x2, 蒼火竜の翼 x1
Absorber Jewel : 陽翔原珠 x1, 土砂竜の頭殻 x1, 水獣のトサカ x1
Absorber Jewel : 瑠璃原珠 x1, 尾槌竜の堅尾甲 x2, 黒角竜の堅甲 x2
Sniper Jewel : 水光原珠 x1, なぞの頭骨 x2
Forceshot Jewel : 陽翔原珠 x1, 上竜骨 x2, はじけイワシ x5
Forceshot Jewel : 瑠璃原珠 x1, 炎戈竜の堅殻 x2, 尖竜骨 x2
Pierce Jewel : 陽翔原珠 x1, 爆鎚竜の顎 x1, ドスヘラクレス x2
Pierce Jewel : 瑠璃原珠 x1, 爆鎚竜の紅玉 x1, 王族カナブン x2
Pellet Jewel : 陽翔原珠 x1, アイシスメタル x2, 竜の牙 x5
Pellet Jewel : 瑠璃原珠 x1, 鋼鎚竜の耐熱殻 x1, グラシスメタル x2
ShotPlus Jewel : 水光原珠 x1, 竜骨【中】 x2
ShotPlus Jewel : 陽翔原珠 x1, 上竜骨 x2, 土砂竜の背甲 x1
PiercPlus Jewel : 陽翔原珠 x1, ドラグライト鉱石 x2
PelletPlus Jewel : 陽翔原珠 x1, 潜口竜の甲殻 x2
CragPlus Jewel : 陽翔原珠 x1, 火竜の甲殻 x2
ClustPlus Jewel : 陽翔原珠 x1, 爆鎚竜の鱗 x2
SlicePlus Jewel : 水光原珠 x1, 白兎獣の毛 x2
BlastPlus Jewel : 修羅原珠 x1, 砕竜の黒曜甲 x2, 火炎草 x4
PoisonCoat Jewel : 水光原珠 x1, 毒袋 x1
ParaCoat Jewel : 陽翔原珠 x1, 麻痺袋 x1
ParaCoat Jewel : 修羅原珠 x1, 電怪竜の上皮 x1, 強力麻痺袋 x1
SleepCoat Jewel : 陽翔原珠 x1, 睡眠袋 x1
PowerCoat Jewel : 陽翔原珠 x1, 溶岩獣の鱗 x2, ニトロダケ x5
PowerCoat Jewel : 修羅原珠 x1, 溶岩獣の上鱗 x1, 溶岩塊 x1
CloseRCoat Jewel : 水光原珠 x1, 水獣の鱗 x1, 未熟な海綿質 x1
ExhausCoat Jewel : 陽翔原珠 x1, シンドイワシ x2, 竜骨【大】 x1
BlastCoat Jewel : 修羅原珠 x1, 砕竜の堅殻 x2, 溶岩塊 x1
Flute Jewel : 陽翔原珠 x1, へんなクチバシ x1, 角笛 x1
Gunnery Jewel : 陽翔原珠 x1, アイシスメタル x1, 大タル爆弾Ｇ x2
Bombardier Jewel : 陽翔原珠 x1, 火打石 x1, 狗竜の皮 x1
Medicine Jewel : 陽翔原珠 x1, 彩鳥の鱗 x1, ケルビの角 x2
Medicine Jewel : 修羅原珠 x1, 彩鳥の上鱗 x1, いにしえの秘薬 x1
Friendship Jewel : 水光原珠 x1, 彩鳥の羽根 x1
Friendship Jewel : 修羅原珠 x1, 紅彩鳥の翼 x1, 生命の粉塵 x2
Enduring Jewel : 水光原珠 x1, 大きなヒレ x1
Hungerless Jewel : 水光原珠 x1, 竜骨【大】 x1, こんがり肉 x1
Metabolism Jewel : 水光原珠 x1, 竜骨【中】 x1
Gobbler Jewel : 陽翔原珠 x1, 潜口竜の皮 x1, 青熊獣の腕甲 x2
Gobbler Jewel : 瑠璃原珠 x1, 恐暴竜の大牙 x2, 爆鎚竜の堅殻 x2
MeatEater Jewel : 金剛原珠 x1, 偉大なエリマキ x2
MeatLover Jewel : 金剛原珠 x1, 偉大なエリマキ x2, 光り輝く体液 x1
Professor Jewel : 水光原珠 x1, 調合書①入門編 x1, 丸鳥の羽 x1
Factory Jewel : 水光原珠 x1, 小金魚 x1
Gathering Jewel : 水光原珠 x1, ケルビの角 x1
Spree Jewel : 水光原珠 x1, 甲虫の腹袋 x1, 竜骨【小】 x2
Blessing Jewel : 水光原珠 x1, 鉄鉱石 x2
HoneyGrab Jewel : 金剛原珠 x1, 青熊獣の重殻 x2
HoneyGrab Jewel+ : 金剛原珠 x1, 青熊獣の重殻 x3, 迅竜の剛刃翼 x1
Charm Jewel : 金剛原珠 x1, 火竜の煌液 x1, 霊水晶 x3
Fate Jewel : 金剛原珠 x1, 重厚な牙 x1, 銀のたまご x2
Fate Jewel : 瑠璃原珠 x1, 金火竜の上棘 x2, 金のたまご x2
Carver Jewel : 金剛原珠 x1, 恐暴竜の厚黒皮 x1
Carver Jewel : 金剛原珠 x1, 皇海龍の剛鎧毛 x1, 大地の龍玉 x1
Capture Jewel : 金剛原珠 x1, 勇気の証 x1, 翠水竜の厚鱗 x1
Capture Jewel : 金剛原珠 x1, 覇王の証 x2, 雷狼竜の雷電毛 x1
Perception Jewel : 水光原珠 x1, 草食竜の甲殻 x1, 双眼鏡 x1
Psychic Jewel : 水光原珠 x1, 極彩色の羽根 x1
Transportr Jewel : 水光原珠 x1, 狂走エキス x1
Hunter Jewel : 水光原珠 x1, サシミウオ x1, 生肉 x2
Alarm Jewel : 水光原珠 x1, マタタビ x3
TrapMaster Jewel : 陽翔原珠 x1, なめらかな皮 x1, シビレ罠 x1
Torchlight Jewel : 陽翔原珠 x1, 提灯球 x2, 炎戈竜の燃鱗 x2
Fresh Air Jewel : 水光原珠 x1, イキツギ藻 x5
Upstream Jewel : 水光原珠 x1, 未熟な海綿質 x1, 海綿質の皮 x3
Upstream Jewel : 修羅原珠 x1, 水生獣の皮 x5, 水獣の上鱗 x3
Swimmer Jewel : 水光原珠 x1, 大きなヒレ x5, 灯魚竜のヒレ x1
Diver Jewel : 修羅原珠 x1, 上質なヒレ x5, 水竜の上ビレ x1
Water God Jewel : 金剛原珠 x1, 水竜のお頭 x1, 翠水竜の特上ビレ x1
Water God Jewel : 金剛原珠 x1, 冥海竜の厚鱗 x2, 翠水竜の厚鱗 x1
Potential Jewel : 陽翔原珠 x1, 尾槌竜の苔甲 x2
Potential Jewel : 金剛原珠 x1, 尾槌竜の重苔甲 x2, 白兎獣の大耳 x2
Fortitude Jewel : 陽翔原珠 x1, 尾槌竜の尾甲 x1
Fortitude Jewel : 修羅原珠 x1, 尾槌竜の堅苔甲 x1, 水竜のお頭 x1
Full Release Jewel : 瑠璃原珠 x1, 雷狼竜の尖角 x1, 氷牙竜の棘 x2
Full Release Jewel : 瑠璃原珠 x1, 嵐龍の角 x1, 緑迅竜の上斑毛 x2
Fighter Jewel : 金剛原珠 x1, 砕竜の堅殻 x2, 土砂竜の靱尾 x1
Fighter Jewel : 金剛原珠 x1, 砕竜の剛鉄拳 x1, 雷狼竜の雷電毛 x1
Unhurt Jewel : 金剛原珠 x1, 獄狼竜の剛角 x2, 獄狼竜の重殻 x2
Unhurt Jewel : 金剛原珠 x1, 獄狼竜の剛爪 x2, 皇海龍の重厚皮 x2
Release Jewel : 金剛原珠 x1, 海龍の厚皮 x1, 白海竜の尖角 x1
Catalyst Jewel : 金剛原珠 x1, 白海竜の厚皮 x2, 海竜の剛角 x1
Resistor Jewel : 瑠璃原珠 x1, 煌黒龍の逆鱗 x2
Resistor Jewel : 瑠璃原珠 x1, 天をつらぬく角 x1
Rigid Jewel : 煉黒龍の燃殻 x2, 金剛原珠 x1, なぞの粘菌 x1
Rigid Jewel : 煉黒龍の重翼 x1, 金剛原珠 x1, 尾斧竜の重尾甲 x1
Guts Jewel : 金剛原珠 x1, 堅牢な鳥竜骨 x2, 尾斧竜の赤銅殻 x1
Guts Jewel : 金剛原珠 x1, ドボルストーン x1, 尾斧竜の重尾甲 x3
Baton Jewel : 水光原珠 x1, トモダチケット x2, 肉球のスタンプ x2
Baton Pro Jewel : 修羅原珠 x1, トモダチケット x3, 王者のエリマキ x2
Order Jewel : 水光原珠 x1, トモダチケット x3, 増強剤 x2, 秘薬 x2
Order Jewel : 瑠璃原珠 x1, トモダチケット x4, ツチハチノコ x2
