  0: Vitality Jewel       Health +2
134: Breeze Jewel         Heat Res +2
135: Warmth Jewel         Cold Res +2
136: Earplug Jewel        Hearing +1, Protection -1
137: Earplug Jewel        Hearing +4, Protection -2
138: Anti-Wind Jewel      Wind Res +1, Fate -1
139: Anti-Wind Jewel      Wind Res +3, Fate -1
140: Friendship Jewel     Wide-Range +1, Sense -1
141: Friendship Jewel     Wide-Range +3, Sense -1
142: Ninja Jewel          Sense +2
143: Professor Jewel      Combo Rate +2
144: Enduring Jewel       LastingPwr +2
145: Dung Jewel           Dungmaster +2
146: Factory Jewel        Combo Plus +2
147: Transportr Jewel     Transportr +2
148: Gathering Jewel      Gathering +2
149: Spree Jewel          Spd Gather +2
150: Blessing Jewel       Whim +2
151: Hunter Jewel         Hunter +2
152: Psychic Jewel        Psychic +2
153: Perception Jewel     Perception +2
154: Fate Jewel           Fate +1, Whim -1
155: Fate Jewel           Fate +4, Whim -2
156: Capture Jewel        Tranquilzr +1, Fate -1
157: Capture Jewel        Tranquilzr +4, Fate -2
158: Carver Jewel         Carving +1, Fate -1
159: Carver Jewel         Carving +4, Fate -2
160: Resistor Jewel       Blight Res +1, Health -1
161: Resistor Jewel       Blight Res +4, Health -2
162: Fortitude Jewel      Survivor +1, Rec Level -1
163: Fortitude Jewel      Survivor +3, Rec Level -1
