Leather Headgear : 1 暖かい毛皮, 1 鉄鉱石
Leather Vest : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Gloves : 2 暖かい毛皮
Leather Belt : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Pants : 2 暖かい毛皮
Piscine Mask : 2 ケルビの角, 2 イキツギ藻, 2 なぞの骨
Piscine Belt : 2 水生獣の皮, 2 欠けた貝殻
Piscine Leggings : 2 水生獣の皮, 1 大きなヒレ
Chainmail Headgear : 1 大地の結晶, 1 鉄鉱石
Chainmail Vest : 2 鉄鉱石, 1 暖かい毛皮
Chainmail Gloves : 1 鉄鉱石, 2 砥石
Chainmail Belt : 1 鉄鉱石, 2 暖かい毛皮
Chainmail Pants : 2 鉄鉱石, 2 暖かい毛皮
Loc Lac Shawl : 1 甲虫の腹袋, 3 モンスターの体液, 3 氷結晶
Loc Lac Kilt : 2 甲虫の腹袋, 2 甲虫の大顎, 3 氷結晶
Loc Lac Boots : 3 甲虫の大顎, 2 甲虫の腹袋, 3 氷結晶
Hunter's Helm : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Mail : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Vambraces : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Faulds : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Greaves : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Hunter's Cap : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Vest : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Guards : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Coat : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Leggings : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Yukumo Kasa : ※港店売り
Yukumo Dogi : ※港店売り
Yukumo Kote : ※港店売り
Yukumo Obi : ※港店売り
Yukumo Hakama : ※港店売り
Alloy Helm : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Mail : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Vambraces : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coil : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Greaves : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Alloy Cap : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Vest : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Guards : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coat : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Leggings : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Bone Helm : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Mail : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Vambraces : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Faulds : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Greaves : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bone Cap : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Vest : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Guards : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Coat : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Leggings : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Aoashira Faulds : 2 青熊獣の毛, 1 青熊獣の甲殻, 1 大きな骨, 3 セッチャクロアリ
Aoashira Greaves : 2 青熊獣の腕甲, 2 青熊獣の毛, 2 飛甲虫の甲殻, 3 光蟲
Aoashira Cap : 2 青熊獣の甲殻, 2 青熊獣の毛, 2 大きな骨, 3 セッチャクロアリ
Aoashira Vest : 3 青熊獣の毛, 1 青熊獣の甲殻, 2 飛甲虫の甲殻, 3 光蟲
Aoashira Guards : 2 青熊獣の甲殻, 1 青熊獣の腕甲, 2 青熊獣の毛, 2 甲虫の腹袋
Aoashira Coat : 2 青熊獣の毛, 1 青熊獣の甲殻, 1 大きな骨, 3 セッチャクロアリ
Aoashira Leggings : 2 青熊獣の腕甲, 2 青熊獣の毛, 2 飛甲虫の甲殻, 3 光蟲
Froggi Helm : 1 王者のクチバシ, 2 毒狗竜の皮, 2 フロギィの鱗, 2 キラビートル
Froggi Mail : 2 毒狗竜の皮, 1 毒狗竜の腕甲, 3 毒袋, 5 氷結晶
Froggi Vambraces : 2 毒狗竜の腕甲, 2 毒狗竜の皮, 2 フロギィの鱗, 3 セッチャクロアリ
Froggi Faulds : 3 フロギィの皮, 2 フロギィの鱗, 6 竜骨【小】, 3 キラビートル
Froggi Greaves : 2 毒狗竜の腕甲, 2 毒狗竜の皮, 3 フロギィの皮, 3 セッチャクロアリ
Froggi Cap : 1 王者のクチバシ, 2 毒狗竜の皮, 2 フロギィの鱗, 2 キラビートル
Froggi Vest : 2 毒狗竜の皮, 1 毒狗竜の腕甲, 3 毒袋, 5 氷結晶
Froggi Guards : 2 毒狗竜の腕甲, 2 毒狗竜の皮, 2 フロギィの鱗, 3 セッチャクロアリ
Froggi Coat : 3 フロギィの皮, 2 フロギィの鱗, 6 竜骨【小】, 3 キラビートル
Froggi Leggings : 2 毒狗竜の腕甲, 2 毒狗竜の皮, 3 フロギィの皮, 3 セッチャクロアリ
Qurupeco Helm : 2 へんなクチバシ, 2 彩鳥の羽, 2 竜骨【中】, 3 セッチャクロアリ
Qurupeco Mail : 1 極彩色の羽根, 2 彩鳥の鱗, 2 竜骨【中】, 3 セッチャクロアリ
Qurupeco Vambraces : 1 火打石, 2 彩鳥の羽根, 2 彩鳥の鱗, 2 雷光虫
Qurupeco Coil : 2 彩鳥の羽根, 3 彩鳥の鱗, 4 竜骨【小】, 2 キラビートル
Qurupeco Greaves : 2 彩鳥の鱗, 1 極彩色の羽根, 4 竜骨【小】, 2 キラビートル
Qurupeco Cap : 2 へんなクチバシ, 2 彩鳥の羽, 2 竜骨【中】, 3 セッチャクロアリ
Qurupeco Vest : 1 極彩色の羽根, 2 彩鳥の鱗, 2 竜骨【中】, 3 セッチャクロアリ
Qurupeco Guards : 1 火打石, 2 彩鳥の羽根, 2 彩鳥の鱗, 2 雷光虫
Qurupeco Coat : 2 彩鳥の羽根, 3 彩鳥の鱗, 4 竜骨【小】, 2 キラビートル
Qurupeco Leggings : 2 彩鳥の鱗, 1 極彩色の羽根, 4 竜骨【小】, 2 キラビートル
Ludroth Helm : 2 水獣のトサカ, 1 水獣の尻尾, 2 水獣の鱗, 3 セッチャクロアリ
Ludroth Mail : 2 海綿質の皮, 1 水獣の爪, 3 水生獣の皮, 2 キラビートル
Ludroth Vambraces : 1 水獣の爪, 2 水獣の鱗, 2 海綿質の皮, 2 水袋
Ludroth Faulds : 3 水生獣の皮, 5 未熟な海綿質, 4 竜骨【小】, 2 キラビートル
Ludroth Greaves : 2 水獣の爪, 3 水獣の鱗, 2 海綿質の皮, 3 セッチャクロアリ
Ludroth Cap : 2 水獣のトサカ, 1 水獣の尻尾, 2 水獣の鱗, 3 セッチャクロアリ
Ludroth Vest : 2 海綿質の皮, 1 水獣の爪, 3 水生獣の皮, 2 キラビートル
Ludroth Guards : 1 水獣の爪, 2 水獣の鱗, 2 海綿質の皮, 2 水袋
Ludroth Coat : 3 水生獣の皮, 5 未熟な海綿質, 4 竜骨【小】, 2 キラビートル
Ludroth Leggings : 2 水獣の爪, 3 水獣の鱗, 2 海綿質の皮, 3 セッチャクロアリ
Baggi Helm : 3 眠狗竜の皮, 2 眠狗竜の爪, 3 バギィの鱗, 2 アイシスメタル
Baggi Mail : 1 王者のトサカ, 1 眠狗竜の爪, 2 バギィの皮, 2 シーブライト鉱石
Baggi Vambraces : 2 眠狗竜の爪, 3 眠狗竜の皮, 2 バギィの皮, 2 アイシスメタル
Baggi Coil : 2 眠狗竜の皮, 1 王者のトサカ, 3 睡眠袋, 2 シーブライト鉱石
Baggi Greaves : 4 バギィの皮, 3 バギィの鱗, 6 竜骨【小】, 1 ライトクリスタル
Baggi Cap : 3 眠狗竜の皮, 2 眠狗竜の爪, 3 バギィの鱗, 2 アイシスメタル
Baggi Vest : 1 王者のトサカ, 1 眠狗竜の爪, 2 バギィの皮, 2 シーブライト鉱石
Baggi Guards : 2 眠狗竜の爪, 3 眠狗竜の皮, 2 バギィの皮, 2 アイシスメタル
Baggi Coat : 2 眠狗竜の皮, 1 王者のトサカ, 3 睡眠袋, 2 シーブライト鉱石
Baggi Leggings : 4 バギィの皮, 3 バギィの鱗, 6 竜骨【小】, 1 ライトクリスタル
Urkusus Helm : 2 白兎獣の耳, 2 大きな骨, 4 バギィの皮, 2 アイシスメタル
Urkusus Mail : 2 白兎獣の腹甲, 2 白兎獣の毛, 4 バギィの鱗, 3 キラビートル
Urkusus Vambraces : 2 白兎獣の氷爪, 2 白兎獣の毛, 1 白兎獣の腹甲, 4 なめらかな皮
Urkusus Faulds : 3 白兎獣の毛, 1 白兎獣の氷爪, 2 大きな骨, 3 キラビートル
Urkusus Greaves : 2 白兎獣の毛, 2 白兎獣の腹甲, 1 白兎獣の氷爪, 8 セッチャクロアリ
Urkusus Cap : 2 白兎獣の耳, 2 大きな骨, 4 バギィの皮, 2 アイシスメタル
Urkusus Vest : 2 白兎獣の腹甲, 2 白兎獣の毛, 4 バギィの鱗, 3 キラビートル
Urkusus Guards : 2 白兎獣の氷爪, 2 白兎獣の毛, 1 白兎獣の腹甲, 4 なめらかな皮
Urkusus Coat : 3 白兎獣の毛, 1 白兎獣の氷爪, 2 大きな骨, 3 キラビートル
Urkusus Leggings : 2 白兎獣の毛, 2 白兎獣の腹甲, 1 白兎獣の氷爪, 8 セッチャクロアリ
Barroth Helm : 2 土砂竜の背甲, 1 土砂竜の甲殻, 1 土砂竜の頭殻, 2 草食竜の頭殻
Barroth Mail : 1 土砂竜の頭殻, 2 土砂竜の背甲, 2 肥沃なドロ, 2 キラビートル
Barroth Vambraces : 2 土砂竜の爪, 2 土砂竜の甲殻, 2 肥沃なドロ, 3 草食竜の甲殻
Barroth Faulds : 2 土砂竜の甲殻, 1 土砂竜の爪, 2 土砂竜の背甲, 5 竜骨【中】
Barroth Greaves : 2 土砂竜の甲殻, 1 土砂竜の尻尾, 2 竜骨【大】, 3 草食竜の甲殻
Barroth Cap : 2 土砂竜の背甲, 1 土砂竜の甲殻, 1 土砂竜の頭殻, 2 草食竜の頭殻
Barroth Vest : 1 土砂竜の頭殻, 2 土砂竜の背甲, 2 肥沃なドロ, 2 キラビートル
Barroth Guards : 2 土砂竜の爪, 2 土砂竜の甲殻, 2 肥沃なドロ, 3 草食竜の甲殻
Barroth Coat : 2 土砂竜の甲殻, 1 土砂竜の爪, 2 土砂竜の背甲, 5 竜骨【中】
Barroth Leggings : 2 土砂竜の甲殻, 1 土砂竜の尻尾, 2 竜骨【大】, 3 草食竜の甲殻
Ranguro Helm : 2 赤甲獣の爪, 2 赤甲獣の甲殻, 2 モンスターの体液, 4 ドラグライト鉱石
Ranguro Mail : 3 赤甲獣の甲殻, 1 赤甲獣の蛇腹甲, 2 大きな骨, 4 溶岩獣の鱗
Ranguro Vambraces : 2 赤甲獣の爪, 2 赤甲獣の蛇腹甲, 2 大きな骨, 4 溶岩獣の鱗
Ranguro Faulds : 3 赤甲獣の甲殻, 4 麻痺袋, 1 モンスターの体液, 1 紅蓮石
Ranguro Greaves : 2 赤甲獣の爪, 2 赤甲獣の甲殻, 1 赤甲獣の蛇腹甲, 4 大地の結晶
Ranguro Cap : 2 赤甲獣の爪, 2 赤甲獣の甲殻, 2 モンスターの体液, 4 ドラグライト鉱石
Ranguro Vest : 3 赤甲獣の甲殻, 1 赤甲獣の蛇腹甲, 2 大きな骨, 4 溶岩獣の鱗
Ranguro Guards : 2 赤甲獣の爪, 2 赤甲獣の蛇腹甲, 2 大きな骨, 4 溶岩獣の鱗
Ranguro Coat : 3 赤甲獣の甲殻, 4 麻痺袋, 1 モンスターの体液, 1 紅蓮石
Ranguro Leggings : 2 赤甲獣の爪, 2 赤甲獣の甲殻, 1 赤甲獣の蛇腹甲, 4 大地の結晶
Gobul Helm : 2 灯魚竜のヒゲ, 1 提灯球, 3 灯魚竜の皮, 4 竜骨【中】
Gobul Mail : 3 灯魚竜の皮, 2 灯魚竜のヒレ, 2 灯魚竜の棘, 3 竜骨【大】
Gobul Vambraces : 1 灯魚竜のヒレ, 2 灯魚竜の棘, 3 灯魚竜の皮, 3 麻痺袋
Gobul Faulds : 1 灯魚竜のヒレ, 2 灯魚竜の棘, 1 灯魚竜のヒゲ, 1 提灯球
Gobul Greaves : 2 灯魚竜の棘, 4 灯魚竜の皮, 1 当魚竜のヒレ, 5 竜骨【中】
Gobul Cap : 2 灯魚竜のヒゲ, 1 提灯球, 3 灯魚竜の皮, 4 竜骨【中】
Gobul Vest : 3 灯魚竜の皮, 2 灯魚竜のヒレ, 2 灯魚竜の棘, 3 竜骨【大】
Gobul Guards : 1 灯魚竜のヒレ, 2 灯魚竜の棘, 3 灯魚竜の皮, 3 麻痺袋
Gobul Coat : 1 灯魚竜のヒレ, 2 灯魚竜の棘, 1 灯魚竜のヒゲ, 1 提灯球
Gobul Leggings : 2 灯魚竜の棘, 4 灯魚竜の皮, 1 当魚竜のヒレ, 5 竜骨【中】
Rathian Helm : 1 雌火竜の棘, 4 雌火竜の鱗, 3 雌火竜の甲殻, 5 大地の結晶
Rathian Mail : 4 雌火竜の鱗, 3 雌火竜の翼膜, 1 火竜の骨髄, 5 マカライト鉱石
Rathian Vambraces : 2 火竜の翼爪, 2 雌火竜の甲殻, 1 雌火竜の棘, 5 大地の結晶
Rathian Faulds : 2 雌火竜の翼膜, 1 雌火竜の逆鱗, 2 火炎袋, 5 マカライト鉱石
Rathian Greaves : 3 雌火竜の甲殻, 4 雌火竜の鱗, 3 竜骨【大】, 1 ライトクリスタル
Rathian Cap : 1 雌火竜の棘, 4 雌火竜の鱗, 3 雌火竜の甲殻, 5 大地の結晶
Rathian Vest : 4 雌火竜の鱗, 3 雌火竜の翼膜, 1 火竜の骨髄, 5 マカライト鉱石
Rathian Guards : 2 火竜の翼爪, 2 雌火竜の甲殻, 1 雌火竜の棘, 5 大地の結晶
Rathian Coat : 2 雌火竜の翼膜, 1 雌火竜の逆鱗, 2 火炎袋, 5 マカライト鉱石
Rathian Leggings : 3 雌火竜の甲殻, 4 雌火竜の鱗, 3 竜骨【大】, 1 ライトクリスタル
Gigginox Helm : 2 不気味な皮, 3 毒怪竜の皮, 2 毒袋, 3 眠狗竜の皮
Gigginox Mail : 2 毒怪竜の爪, 3 毒怪竜の皮, 3 不気味な毒腺, 4 アイシスメタル
Gigginox Vambraces : 4 毒怪竜の皮, 1 毒怪竜の爪, 3 不気味な毒腺, 3 竜骨【大】
Gigginox Faulds : 4 毒怪竜の皮, 1 不気味な皮, 4 なめらかな皮, 2 眠狗竜の皮
Gigginox Greaves : 1 おそろしいクチ, 4 なめらかな皮, 2 アルビノエキス, 1 ライトクリスタル
Gigginox Cap : 2 不気味な皮, 3 毒怪竜の皮, 2 毒袋, 3 眠狗竜の皮
Gigginox Vest : 2 毒怪竜の爪, 3 毒怪竜の皮, 3 不気味な毒腺, 4 アイシスメタル
Gigginox Guards : 4 毒怪竜の皮, 1 毒怪竜の爪, 3 不気味な毒腺, 3 竜骨【大】
Gigginox Coat : 4 毒怪竜の皮, 1 不気味な皮, 4 なめらかな皮, 2 眠狗竜の皮
Gigginox Leggings : 1 おそろしいクチ, 4 なめらかな皮, 2 アルビノエキス, 1 ライトクリスタル
Ingot Helm : 2 ドラグライト鉱石, 2 アイシスメタル, 1 シーブライト鉱石, 1 ライトクリスタル
Ingot Mail : 4 ドラグライト鉱石, 1 紅蓮石, 1 シーブライト鉱石, 1 ライトクリスタル
Ingot Vambraces : 2 ドラグライト鉱石, 2 ライトクリスタル, 1 紅蓮石, 5 マカライト鉱石
Ingot Coil : 4 ドラグライト鉱石, 1 紅蓮石, 3 アイシスメタル, 5 マカライト鉱石
Ingot Greaves : 3 ドラグライト鉱石, 2 アイシスメタル, 2 シーブライト鉱石, 5 マカライト鉱石
Ingot Cap : 2 ドラグライト鉱石, 2 アイシスメタル, 1 シーブライト鉱石, 1 ライトクリスタル
Ingot Vest : 4 ドラグライト鉱石, 1 紅蓮石, 1 シーブライト鉱石, 1 ライトクリスタル
Ingot Guards : 2 ドラグライト鉱石, 2 ライトクリスタル, 1 紅蓮石, 5 マカライト鉱石
Ingot Coat : 4 ドラグライト鉱石, 1 紅蓮石, 3 アイシスメタル, 5 マカライト鉱石
Ingot Leggings : 3 ドラグライト鉱石, 2 アイシスメタル, 2 シーブライト鉱石, 5 マカライト鉱石
Barioth Helm : 2 琥珀色の牙, 3 氷牙竜の毛皮, 2 氷牙竜の甲殻, 6 キラビートル
Barioth Mail : 3 氷牙竜の甲殻, 1 氷牙竜の尻尾, 1 氷牙竜の棘, 3 ドスヘラクレス
Barioth Vambraces : 1 氷牙竜の爪, 3 氷牙竜の甲殻, 4 氷結袋, 6 なめらかな皮
Barioth Faulds : 1 琥珀色の牙, 1 氷牙竜の棘, 2 上竜骨, 4 白兎獣の腹甲
Barioth Greaves : 4 氷牙竜の毛皮, 2 氷牙竜の甲殻, 1 氷牙竜の爪, 6 白兎獣の毛
Barioth Cap : 2 琥珀色の牙, 3 氷牙竜の毛皮, 2 氷牙竜の甲殻, 6 キラビートル
Barioth Vest : 3 氷牙竜の甲殻, 1 氷牙竜の尻尾, 1 氷牙竜の棘, 3 ドスヘラクレス
Barioth Guards : 1 氷牙竜の爪, 3 氷牙竜の甲殻, 4 氷結袋, 6 なめらかな皮
Barioth Coat : 1 琥珀色の牙, 1 氷牙竜の棘, 2 上竜骨, 4 白兎獣の腹甲
Barioth Leggings : 4 氷牙竜の毛皮, 2 氷牙竜の甲殻, 1 氷牙竜の爪, 6 白兎獣の毛
Hapul Helm : 1 潜口竜の頭殻, 2 潜口竜の甲殻, 5 竜骨【中】, 2 狗竜の皮
Hapul Mail : 4 潜口竜の皮, 1 潜口竜の爪, 3 潜口竜の甲殻, 4 鮮やかな体液
Hapul Vambraces : 2 潜口竜の爪, 2 潜口竜の甲殻, 4 鮮やかな体液, 3 甲虫の大顎
Hapul Faulds : 3 潜口竜の皮, 1 潜口竜の頭殻, 3 竜骨【大】, 4 甲虫の腹袋
Hapul Greaves : 3 潜口竜の甲殻, 1 潜口竜の爪, 3 潜口竜の皮, 3 甲虫の大顎
Hapul Cap : 1 潜口竜の頭殻, 2 潜口竜の甲殻, 5 竜骨【中】, 2 狗竜の皮
Hapul Vest : 4 潜口竜の皮, 1 潜口竜の爪, 3 潜口竜の甲殻, 4 鮮やかな体液
Hapul Guards : 2 潜口竜の爪, 2 潜口竜の甲殻, 4 鮮やかな体液, 3 甲虫の大顎
Hapul Coat : 3 潜口竜の皮, 1 潜口竜の頭殻, 3 竜骨【大】, 4 甲虫の腹袋
Hapul Leggings : 3 潜口竜の甲殻, 1 潜口竜の爪, 3 潜口竜の皮, 3 甲虫の大顎
Guild Bard Lobos/Scholar's Beret : 2 飛竜のコイン, 3 海竜のコイン, 4 牙獣のコイン, 3 赤甲獣の蛇腹甲
Guild Bard Bolero/Scholar's Blouse : 2 飛竜のコイン, 3 海竜のコイン, 4 牙獣のコイン, 2 火竜の翼膜
Guild Bard Braces/Scholar's Gloves : 2 飛竜のコイン, 3 海竜のコイン, 4 牙獣のコイン, 2 爆鎚竜の耐熱殻
Guild Bard Coil/Scholar's Skirt : 2 飛竜のコイン, 3 海竜のコイン, 4 牙獣のコイン, 4 鮮やかな体液
Guild Bard Boots/Scholar's Socks : 2 飛竜のコイン, 3 海竜のコイン, 4 牙獣のコイン, 2 氷牙竜の棘
Guild Bard Hat/Scholar's Cap : 2 飛竜のコイン, 3 海竜のコイン, 4 牙獣のコイン, 3 赤甲獣の蛇腹甲
Guild Bard Vest/Scholar's Vest : 2 飛竜のコイン, 3 海竜のコイン, 4 牙獣のコイン, 2 火竜の翼膜
Guild Bard Sleeves/Scholar's Sleeves : 2 飛竜のコイン, 3 海竜のコイン, 4 牙獣のコイン, 2 爆鎚竜の耐熱殻
